,store,new_store,works,region
281,87552fff2ccab3f55ec4d05f20de691d,경기도_111,373,경기도
282,99fa573ec09fd0144559eacf68a1dca1,경기도_220,121,경기도
283,557624418b992304b563d76aa0515730,경기도_214,113,경기도
284,0192910a292caae6e715adbc51f7d83f,경상남도_14,77,경상남도
285,90acd6a8df26392dc5c20c472a55e12e,경상남도_20,3,경상남도
286,cb5adcd3cb0450bbe9b5e5c56ef6bb63,서울특별시_64,81,서울특별시
287,3a7ea677653beae2b625abf7a169db1e,경기도_148,31,경기도
288,b476913f5d0e38d6c5c1023679f2f0f2,인천광역시_50,60,인천광역시
289,1b8770060f360decc5b6910cc70642b0,경상북도_24,22,경상북도
290,f529d9c00e07a40a40fcd47721bc93ea,경상북도_25,1358,경상북도
291,5c16fa1cd32ae616af5d7ee3f95c236d,부산광역시_3,880,부산광역시
292,d0354a91aec86080accce028a68d0b53,충청북도_14,353,충청북도
293,a78d61802c2b1b1bdf51386e105d48ae,충청북도_8,291,충청북도
294,ec099a154fb9d3b7a7b4cea4d3dea0c2,충청북도_22,265,충청북도
295,1c4181faa3aaacacd278f5b78b9915b7,충청북도_33,13,충청북도
296,f9ca0e38239826941928f483be924b42,전라남도_1,1755,전라남도
297,e006e91174d5d18a602a3dd9f449de13,전라남도_6,1267,전라남도
298,f237f83f604827921698a2df4987d682,경기도_152,1697,경기도
299,1d75cecf4839fe56479a4b784df01480,서울특별시_5,240,서울특별시
300,d00c6dfe2ca692d167924c81d4e487cf,대전광역시_10,102,대전광역시
301,2c66a5c6ad4cc78e6b3221454d676329,서울특별시_81,354,서울특별시
302,3c2d055e2380e3d800a84918b4f9820b,경기도_107,535,경기도
303,c2a1081e336d954bfe5337b691ebbf66,경기도_201,622,경기도
304,7640854020a7260a6393f40c7df1982f,경기도_301,769,경기도
305,6893e8705b39113681504a33c930fd33,경기도_143,256,경기도
306,f5a83e7b33c4ed508bc64d4a68e65cff,경기도_237,359,경기도
307,c1f877035f69663f7cd608fad054ff98,경기도_72,184,경기도
308,500170e12b8a3aeac5155a17ea62072f,경기도_95,17,경기도
309,146bd12bc8e411d3608c440f718b8c88,경기도_296,110,경기도
310,602e7722acea1e16c10f31f1c25b6c45,경기도_125,810,경기도
