,name,model,maker,prefix,postfix,kind
267,GLE,GLE-클래스,벤츠,0,0,['Mid-Large suv']
268,기아 더 마스터 모하비 HM,모하비,기아,0,HM,['Mid-Large suv']
269,르노 마스터 밴,마스터,르노,0,0,van
270,BMW 5 시리즈 G30/31,5 시리즈,BMW,0,0,['Sedan']
271,마이티 2.5T,0,0,0,0,
272,어코드,어코드,혼다,0,0,Sedan
273,프라이드,프라이드,기아,0,0,['Sedan']
274,아슬란,아슬란,현대,0,0,['Sedan']
275,더넥스트스파크,스파크,쉐보레/한국GM,더넥스트,0,['Sedan']
276,3시리즈,0,0,0,0,
277,기아 마이스터 스팅어 CK,스팅어,기아,마이스터,CK,['Sedan']
278,현대 신형 에쿠스 VI,에쿠스,현대,신형,VI,['Sedan']
279,제네시스 G90 HI,제네시스,현대,0,0,['Sedan']
280,THE K9,K9,기아,0,0,['Sedan']
281,벤츠 E-클래스,E-클래스,벤츠,0,0,"['Sedan', 'Coupe']"
282,포드 All New 익스플로러,익스플로러,포드,All New,0,['Mid-Large suv']
283,스팅어,스팅어,기아,0,0,['Sedan']
284,맥스크루즈,맥스크루즈,현대,0,0,['Mid-Large suv']
285,올뉴스포티지,스포티지,기아,뉴,0,['Mid-Large suv']
286,르노삼성 QM6,QM6,르노삼성,0,0,['Mid-Large suv']
287,X4,X4,BMW,0,0,Mid-Large suv
288,MKX,MKX,링컨,0,0,Mid-Large suv
289,현대 더뉴 N 투싼 TL,투싼,현대,0,0,['Mid-Large suv']
290,현대 EV 코나 OS,코나,현대,EV,OS,['Small suv']
291,토요타 RAV4 2019년형,RAV4,토요타,0,0,['Mid-Large suv']
292,지프 체로키,체로키,지프,0,0,Mid-Large suv
293,그랜드체로키,체로키,지프,0,0,Mid-Large suv
294,쉐보레/한국GM 더뉴 트랙스 U200,트랙스,쉐보레/한국GM,0,0,['Small suv']
295,벤츠 GLE-클래스,GLE-클래스,벤츠,0,0,['Mid-Large suv']
296,알페온,알페온,쉐보레/한국GM,0,0,['Sedan']
297,폭스바겐 티구안 2013년형,티구안,폭스바겐,0,0,Mid-Large suv
298,쌍용 렉스턴 스포츠 Q200,렉스턴 스포츠,쌍용,0,0,['Mid-Large suv']
299,i40,i40,현대,0,0,['Sedan']
