,name,model,maker,prefix,postfix,kind
318,기아 그랜드 카니발 VQ,카니발,기아,0,0,van
319,벤츠 E-클래스 W213,E-클래스,벤츠,0,0,Sedan
320,기아 프리미어 K7 YG F/L,K7,기아,0,0,Sedan
321,오피러스,오피러스,기아,0,0,Sedan
322,기아 더뉴 모하비 HM,모하비,기아,0,0,Mid-Large suv
323,현대 1열 포터 2 HR,1열 포터,현대,0,0,One row truck
324,현대 2열 포터 2 HR,2열 포터,현대,0,0,Two row truck
325,기아 더 뉴 하이브리드 니로 DE,니로,기아,HEV,OS,Small suv
326,기아 CUV 스토닉 YB,스토닉,기아,0,0,Small suv
327,쌍용 베리 뉴 티볼리,티볼리,쌍용,N,JS,Small suv
328,기아 스팅어 CK,스팅어,기아,0,0,Sedan
329,기아 트럭 1열 봉고 3 PU,1열 봉고,기아,0,0,One row truck
330,BMW X3,X3,BMW,더 뉴,DE,Mid-Large suv
331,undefined undefined,,,0,0,
332,기아 PHEV 니로 DE,니로,기아,0,0,Small suv
333,기아 쏘울,쏘울,기아,더뉴,AD,Small suv
334,혼다 어코드 2020년형,어코드,혼다,0,0,Sedan
335,아반떼MD,아반떼,현대,0,0,Sedan
336,아이오닉하이브리드,아이오닉,현대,0,0,Sedan
337,LF쏘나타,쏘나타,현대,0,QL,Sedan
338,쉐보레/대우 말리부,말리부,쉐보레/한국GM,올뉴,JA,Sedan
339,BMW 7 시리즈,7 시리즈,BMW,0,0,Sedan
340,쉐보레/대우 트랙스,트랙스,쉐보레/한국GM,0,0,Small suv
341,쉐보레/대우 스파크,스파크,쉐보레/한국GM,더뉴R,SL,Sedan
342,BMWNEW5시리즈,5 시리즈,BMW,0,0,Sedan
343,기아 더뉴 K3 YD,K3,기아,0,0,Sedan
344,렉서스 ES 2019년형,ES,렉서스,0,0,Sedan
345,G4 렉스턴,렉스턴,쌍용,0,YB,Mid-Large suv
346,그랜드 스타렉스,스타렉스,현대,0,0,van
347,올 뉴 카니발,카니발,기아,0,0,van
348,BMW X3 G01,X3,BMW,0,0,Mid-Large suv
349,렉서스 ES 2021년형,ES,렉서스,0,0,Sedan
350,렉서스 ES 2020년형,ES,렉서스,0,0,Sedan
351,BMW 7 시리즈 G11/12,7 시리즈,BMW,HEV,HG,Sedan
352,포르쉐 카이엔,카이엔,포르쉐,0,TD,Mid-Large suv
353,쌍용 올 뉴 G4 렉스턴 Y400,렉스턴,쌍용,0,0,Mid-Large suv
354,벤츠 S-클래스 W222,S-클래스,벤츠,더뉴,TA,Sedan
355,BMW X7,X7,BMW,0,0,Mid-Large suv
356,벤츠 A-클래스 세단 V177,A-클래스,벤츠,0,0,Sedan
357,아우디 더 뉴 A6 C8,A6,아우디,HEV,YF,Sedan
358,르노삼성 캡처,캡처,르노삼성,0,0,Small suv
359,포르쉐 파나메라,파나메라,포르쉐,F/L (출시예정),BD,Sedan
360,렉서스 NX 2020년형,NX,렉서스,올뉴 HEV,YG,Mid-Large suv
361,렉서스 NX 2019년형,NX,렉서스,올뉴,YG,Mid-Large suv
362,그랜저,그랜저,현대,HEV,IG,Sedan
363,기아 4세대 카니발 KA4,카니발,기아,0,0,van
364,QM6,QM6,르노삼성,0,0,Mid-Large suv
365,XM3,XM3,르노삼성,0,0,Small suv
366,현대 ix 투싼 LM,투싼,현대,0,0,Mid-Large suv
367,기아 K5,K5,기아,더 뉴 HEV,AE,Sedan
368,제네시스 GV80 JX1,GV80,제네시스,0,0,Mid-Large suv
369,K5,K5,기아,0,0,Sedan
370,렉스턴스포츠,렉스턴 스포츠,쌍용,뉴,KM,Mid-Large suv
371,쉐보레/한국GM 트레일블레이저,트레일블레이저,쉐보레/한국GM,0,0,Small suv
372,트레일블레이저,트레일블레이저,쉐보레,0,0,Small suv
373,제네시스 GV80,GV80,제네시스,뉴,0,Mid-Large suv
374,쉐보레/한국GM 더뉴 스파크 M400,스파크,쉐보레/한국GM,0,0,Sedan
375,쌍용 더 뷰리풀 코란도 WD,코란도,쌍용,0,VG,Small suv
376,현대 4세대 투싼 NX4,투싼,현대,0,0,Mid-Large suv
377,제네시스 더올뉴 G80 RG3,G80,제네시스,0,0,Sedan
378,기아 K5 DL3 HEV,K5,기아,0,YD,Sedan
379,쉐보레/한국GM 더 뉴 말리부 V400,말리부,쉐보레/한국GM,더SUV,QL,Sedan
380,쌍용 베리 뉴 티볼리 X110,티볼리,쌍용,0,JS,Small suv
381,CLS클래스,CLS-클래스,벤츠,0,0,Sedan
