,name,maker,model,kind
419,기아 부스터 쏘울 SK3,기아,쏘울,['Small suv']
420,올뉴투싼TL,현대,투싼,['Mid-Large suv']
421,쌍용 코란도 스포츠,쌍용,코란도 스포츠,['Mid-Large suv']
422,더뉴K5,기아,K5,['Sedan']
423,르노삼성 XM3,르노삼성,XM3,['Small suv']
424,쌍용 뉴C 코란도 C200,쌍용,코란도,"['Mid-Large suv', 'Small suv']"
425,벤츠 CLS-클래스,벤츠,CLS-클래스,['Sedan']
426,르노삼성 SM5,르노삼성,SM5,['Sedan']
427,쉐보레 트레일블레이저,쉐보레,트레일블레이저,['Small suv']
428,NewSM5,르노삼성,SM5,['Sedan']
429,NewSM3,르노삼성,SM3,['Sedan']
430,벤츠 GLC-클래스,벤츠,GLC-클래스,['Mid-Large suv']
431,현대 i30,현대,i30,['Sedan']
432,쌍용 렉스턴스포츠,쌍용,렉스턴 스포츠,['Mid-Large suv']
433,제네시스 G90,제네시스,G90,['Sedan']
434,현대 올뉴투싼TL,현대,투싼,['Mid-Large suv']
435,제네시스 G70 IK,제네시스,G70,['Sedan']
436,제네시스 G80 DH,제네시스,G80,['Sedan']
437,볼보 S60,볼보,S60,['Sedan']
438,쉐보레/한국GM 블레이저 1세대,쉐보레/한국GM,블레이저,['Mid-Large suv']
439,제네시스EQ900,제네시스,EQ900,['Sedan']
440,르노삼성 뉴플래티넘 SM5 L43,르노삼성,SM5,['Sedan']
441,쉐보레/한국GM 더넥스트 스파크 M400,쉐보레/한국GM,스파크,['Sedan']
442,NEWSM6,르노삼성,SM6,['Sedan']
443,현대 뉴ix 투싼 LM,현대,투싼,['Mid-Large suv']
444,현대 i30 PD,현대,i30,['Sedan']
445,기아 더뉴 K5 JF,기아,K5,['Sedan']
446,벤츠 CLA-클래스,벤츠,CLA-클래스,['Sedan']
447,르노삼성 XM3 LJL,르노삼성,XM3,['Small suv']
448,528i,BMW,5 시리즈,['Sedan']
449,르노삼성 클리오,르노삼성,클리오,['Sedan']
450,S350,벤츠,S-클래스,"['Coupe', 'Sedan']"
451,제네시스G80,제네시스,G80,['Sedan']
452,기아 K5 TF,기아,K5,['Sedan']
453,르노삼성 SM3,르노삼성,SM3,['Sedan']
454,제네시스G90,제네시스,G90,['Sedan']
455,코란도스포츠,쌍용,코란도 스포츠,['Mid-Large suv']
456,현대 베라크루즈 EN,현대,베라크루즈,['Mid-Large suv']
457,르노삼성 SM3 L38,르노삼성,SM3,['Sedan']
458,BMW 5 시리즈 F10/11,BMW,5 시리즈,['Sedan']
459,제네시스 EQ900,제네시스,EQ900,['Sedan']
460,기아 더마스터 쏘렌토 UM,기아,쏘렌토,['Mid-Large suv']
461,현대 베라크루즈,현대,베라크루즈,['Mid-Large suv']
462,BMW 5 시리즈,BMW,5 시리즈,['Sedan']
463,르노삼성 SM6 LFD,르노삼성,SM6,['Sedan']
464,현대 올뉴 투싼 TL,현대,투싼,['Mid-Large suv']
